"pantalla","resolución","tipo","etiqueta accesible","texto visible","placeholder","deshabilitado","origen del texto","captura"
"tarjeta-ARZUA PRO-vacia","1280×720","tab","Reserva RPS0","Reserva RPS0","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-rellena","1280×720","button","Pedido","Pedido","","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
"tarjeta-ARZUA PRO-rellena","1280×720","button","Parámetros","Parámetros","","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
"tarjeta-ARZUA PRO-rellena","1280×720","button","Revisión","Revisión","","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
"tarjeta-ARZUA PRO-rellena","1280×720","button","Configuración","Configuración","","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
"tarjeta-ARZUA PRO-rellena","1280×720","button","Limpiar","Limpiar","","no","src/client/App.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
"tarjeta-ARZUA PRO-rellena","1280×720","button","Vista previa","Vista previa","","no","src/client/App.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
"tarjeta-ARZUA PRO-rellena","1280×720","button","Guardar para revisión","Guardar para revisión","","no","src/client/App.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
"tarjeta-ARZUA PRO-rellena","1280×720","input","Pedido","","AR26xxxxx","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
"tarjeta-ARZUA PRO-rellena","1280×720","input","Cliente","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
"tarjeta-ARZUA PRO-rellena","1280×720","input","Fecha","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
"tarjeta-ARZUA PRO-rellena","1280×720","combobox","Técnico","Sin asignar","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
"tarjeta-ARZUA PRO-rellena","1280×720","combobox","Revisión","Sin asignar","","no","src/client/App.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
"tarjeta-ARZUA PRO-rellena","1280×720","button","Obtener datos del pedido","Obtener datos del pedido","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
"tarjeta-ARZUA PRO-rellena","1280×720","combobox","Referencia","","Código, color o nombre aproximado…","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
"tarjeta-ARZUA PRO-rellena","1280×720","button","Borrar referencia","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
"tarjeta-ARZUA PRO-rellena","1280×720","input","Por toldo","","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
"tarjeta-ARZUA PRO-rellena","1280×720","button","Añadir toldoElegir modelo","Añadir toldoElegir modelo","","no","src/client/App.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-rellena.png"
